year,feature,mean_abs_shap,mean_shap,n_test_samples
2016,TRUE_QUALITY_SCORE,0.03192259851549755,-0.007506861031619277,122
2016,SEED_DIVERGENCE,0.12953839125818759,-0.011784323077634818,122
2016,QMS,0.0006825062837611196,2.674976781330317e-05,122
2016,COACH_PREMIUM,0.09007945886487781,0.0014410915655212002,122
2016,ADJOE,0.08275370497661355,-0.015568769664667935,122
2016,ADJDE,0.0375709339716055,-0.005370212146275906,122
2016,TOR,0.0005671853698105792,-6.203208282462127e-05,122
2016,ORB,0.0049639795524358205,-0.0009585736103718834,122
2017,TRUE_QUALITY_SCORE,0.06532269117153511,-0.00033004366861429113,114
2017,SEED_DIVERGENCE,0.10801885962501745,-0.007780633949400998,114
2017,QMS,0.006584405591584855,-2.0258615930062333e-05,114
2017,COACH_PREMIUM,0.02615856973450924,0.001892259667565556,114
2017,ADJOE,0.03773129560959909,-0.00019530782823558792,114
2017,ADJDE,0.016234622752333203,0.00020039850506380847,114
2017,TOR,0.015589026560800679,0.000991487015767268,114
2017,ORB,0.022516773636102872,-0.00027810982702547514,114
2018,TRUE_QUALITY_SCORE,0.10139458770869464,0.00600121550358035,116
2018,SEED_DIVERGENCE,0.10616892676195432,0.002938281136015917,116
2018,QMS,0.013490134855060466,-0.0010007439670125535,116
2018,COACH_PREMIUM,0.005753247066508435,-0.0001419425543489801,116
2018,ADJOE,0.020892370283862503,0.0023804640081006964,116
2018,ADJDE,0.007086343452182815,-0.00019343313283193023,116
2018,TOR,0.01055945505740483,0.0017120212649625142,116
2018,ORB,7.521145042609475e-05,-1.7557162568703205e-06,116
2019,TRUE_QUALITY_SCORE,0.11309756787671106,-0.008869669329670647,118
2019,SEED_DIVERGENCE,0.09096002363905534,-0.02268921457556846,118
2019,QMS,0.013472055327157348,0.0027151770927834776,118
2019,COACH_PREMIUM,0.0171582610472734,-0.0006950792718292536,118
2019,ADJOE,0.010309724446569303,4.84159463801958e-05,118
2019,ADJDE,0.014173923944824592,-0.0018036157939448577,118
2019,TOR,0.01365491419067604,-0.0005085040630653603,118
2019,ORB,0.015657222256643316,-0.00011824442357404157,118
2021,TRUE_QUALITY_SCORE,0.12037671083248054,-0.00487655124801958,116
2021,SEED_DIVERGENCE,0.14216437954833178,-0.01793607153429229,116
2021,QMS,0.014119506181909517,0.00011092121882036496,116
2021,COACH_PREMIUM,0.031461896334927575,0.002972728189190363,116
2021,ADJOE,0.004892985229218847,0.0001324373760188682,116
2021,ADJDE,0.00173608967245508,-0.00014614206735441646,116
2021,TOR,0.025400649785287763,-0.0023256401893167323,116
2021,ORB,0.017157476906172687,0.0019485910499062924,116
2022,TRUE_QUALITY_SCORE,0.1576928371012844,0.015282994335639098,126
2022,SEED_DIVERGENCE,0.14701535727737414,0.02040723089685929,126
2022,QMS,0.015137548298352876,-0.0007306895740127777,126
2022,COACH_PREMIUM,0.017259510890019553,-0.0014023074362538449,126
2022,ADJOE,0.054838163018406584,-0.009927686867356534,126
2022,ADJDE,0.06389008347041292,0.007186566937582144,126
2022,TOR,0.021351690053906098,-0.0032140706582911662,126
2022,ORB,0.014178385970773434,-0.0016617806133600583,126
2023,TRUE_QUALITY_SCORE,0.14311144437638826,0.017378231801364833,122
2023,SEED_DIVERGENCE,0.10758215447881585,-0.010296827546874103,122
2023,QMS,0.011334806638648361,0.0009409156496243642,122
2023,COACH_PREMIUM,0.03477124750604421,-0.00542572424089716,122
2023,ADJOE,0.03505995104407823,-0.0038779029109482447,122
2023,ADJDE,0.0660676635518268,-0.002282065388823018,122
2023,TOR,0.012004633560032108,0.0006429468713529201,122
2023,ORB,0.017981976597600684,-0.002611628611817225,122
2024,TRUE_QUALITY_SCORE,0.1777076152304223,-0.028244099141800403,132
2024,SEED_DIVERGENCE,0.10014553190808369,0.01116487348975258,132
2024,QMS,0.00966210578359714,0.001290687647878926,132
2024,COACH_PREMIUM,0.020852077162388804,0.0010027889795626913,132
2024,ADJOE,0.04535020508795462,0.0057893446482068945,132
2024,ADJDE,0.062300382193013405,0.007759045618953812,132
2024,TOR,0.01169194868213055,-0.00017416131891090207,132
2024,ORB,0.017203568448933847,0.0015919448199436933,132
