feature,mean_abs_shap,sign_consistency,n_folds,selected
TQS_X_SOS,0.30945984460413456,0.3897471746307654,8,False
TRUE_QUALITY_SCORE,0.28910660929977894,0.30354899116079487,8,True
LUCK,0.21777220629155636,0.539519833798399,8,False
SOS_NETRTG,0.14855302218347788,0.45385824369942734,8,False
SEED_DIVERGENCE,0.12757007777690887,0.42641779636426724,8,False
WIN_RATE,0.1260983431711793,0.4409997110460956,8,False
BARTHAG,0.10325547493994236,0.22351681266650297,8,True
SEED_X_DIVERGENCE,0.09518920723348856,0.4225038303636105,8,False
WAB,0.0701572890393436,0.5448601012821536,8,False
ADJ_T,0.06722093978896737,0.32886179568608154,8,True
DRB,0.06368696806021035,0.34399365968222395,8,True
OFF_VERSATILITY,0.058399437461048365,0.5902254338533646,8,False
COACH_X_DIVERGENCE,0.04822522751055658,0.6305101240793993,8,False
NCSOS_NETRTG,0.04757543536834419,0.5227388897126451,8,False
ADJOE,0.04241304029710591,0.6333388076890976,8,False
EFF_RATIO,0.041459586180280894,0.18989765580163465,8,True
EFG_O,0.03814801597036421,0.6422123294554116,8,False
ORB,0.038034009747207165,0.429824713818437,8,False
FTRD,0.03403215645812452,0.5345955927231023,8,False
3P_O,0.03324456745758653,0.33803249525830675,8,True
3P_D,0.03266850160434842,0.5075437574424223,8,False
SHOOT_EDGE,0.03143360675312579,0.45904966890575427,8,False
REBOUND_SHARE,0.03098116349428892,0.49237729325768315,8,False
TURNOVER_EDGE,0.030472179409116507,0.5108565361782891,8,False
FTR,0.026425661286339164,0.6648569464797258,8,True
TOR,0.021460072719492018,0.5908681802001743,8,False
TORD,0.018124943133443594,0.5138523298389124,8,False
ADJDE,0.013464078889228404,0.5611530627010117,8,False
EFG_D,0.010776775656268,0.5652681322186852,8,False
CONF_TOURNEY_WINS,0.006928658607648686,0.4859079452933228,8,False
CONF_TOURNEY_CHAMP,0.002516045715310611,0.6482329638856164,8,False
